date,natural_change,deaths,births
2023,73.519462,60.76015,134.279612
2024,73.530654,60.953905,134.484559
2025,72.775318,61.93681,134.712128
2026,71.978115,62.928943,134.907058
2027,71.249404,63.948977,135.198381
2028,70.453936,65.001672,135.455608
2029,69.668342,66.078551,135.746893
2030,68.836406,67.172551,136.008957
2031,67.947322,68.306259,136.253581
2032,67.172121,69.476761,136.648882
2033,66.241927,70.669149,136.911076
2034,65.312155,71.892114,137.204269
2035,64.333236,73.13732,137.470556
2036,63.286213,74.385605,137.671818
2037,62.353915,75.649206,138.003121
2038,61.372388,76.921971,138.294359
2039,60.173001,78.19356,138.366561
2040,59.006444,79.467005,138.473449
2041,57.840066,80.716509,138.556575
2042,56.608137,81.970112,138.578249
2043,55.272011,83.228148,138.500159
2044,53.872772,84.466901,138.339673
2045,52.398371,85.687878,138.086249
2046,50.897052,86.882943,137.779995
2047,49.318157,88.093659,137.411816
2048,47.636076,89.273647,136.909723
2049,45.848294,90.427752,136.276046
2050,44.103995,91.583402,135.687397
2051,42.227277,92.717677,134.944954
2052,40.664148,93.840429,134.504577
2053,38.855516,94.951856,133.807372
2054,37.224631,96.039357,133.263988
2055,35.585044,97.129644,132.714688
2056,34.052885,98.213906,132.266791
2057,32.582097,99.248795,131.830892
2058,31.158918,100.258834,131.417752
2059,29.634121,101.241326,130.875447
2060,28.422712,102.193334,130.616046
2061,27.25714,103.125536,130.382676
2062,26.213275,104.015831,130.229106
2063,25.070854,104.84518,129.916034
2064,24.059841,105.670744,129.730585
2065,22.843838,106.453857,129.297695
2066,21.773457,107.242103,129.01556
2067,20.848989,108.00244,128.851429
2068,19.730597,108.750967,128.481564
2069,18.674407,109.481878,128.156285
2070,17.510554,110.223478,127.734032
2071,16.441871,110.924889,127.36676
2072,15.394381,111.663282,127.057663
2073,14.270061,112.377617,126.647678
2074,13.053638,113.084917,126.138555
2075,11.830345,113.780019,125.610364
2076,10.543287,114.45899,125.002277
2077,9.261211,115.104268,124.365479
2078,8.075428,115.739561,123.814989
2079,6.96003,116.343492,123.303522
2080,5.781726,116.894086,122.675812
2081,4.648223,117.413693,122.061916
2082,3.695971,117.868319,121.56429
2083,2.712331,118.255825,120.968156
2084,1.730807,118.635078,120.365885
2085,0.733777,118.945001,119.678778
2086,-0.238039,119.213383,118.975344
2087,-1.077971,119.462815,118.384844
2088,-1.794709,119.702443,117.907734
2089,-2.662776,119.904922,117.242146
2090,-3.456006,120.124125,116.668119
2091,-4.330561,120.34459,116.014029
2092,-5.042851,120.591501,115.54865
2093,-5.893448,120.845107,114.951659
2094,-6.543187,121.104541,114.561354
2095,-7.388141,121.383339,113.995198
2096,-8.187988,121.680892,113.492904
2097,-9.067896,121.985853,112.917957
2098,-9.817313,122.274465,112.457152
2099,-10.533215,122.537595,112.00438
2100,-11.357926,122.811672,111.453746
